series_name,gsi,user_id,created_at,episode_id,season_number,episode_number,s_id,key,ep_id,updated_at,total_movies_runtime,movie_watch_count,ep_watch_count,total_series_runtime,series_follow_count,most_recent_ep_watched,is_archived,is_followed,uuid,is_for_later,followed_at,ep_no,s_no,rewatch_count,is_unitary,runtime,bulk_type
Fringe,,42659028,2020-07-26 07:21:34,422561,1,14,82066,watch-episode-02531a20-2745-4f3c-b0b0-25475135b863-f08d7df1-a348-45bf-8710-1e6b3e9ffff9,422561,2020-07-26 07:21:34,,,,,,,,,,,,14,1,0,false,,
The Fast and the Furious,watch-episode-1595765135,42659028,2020-07-26 09:05:35,6901451,1,1,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-29155078-6be4-4c94-95d4-0c1b51117e08,6901451,2020-07-26 09:05:35,,,,,,,,,,,,1,1,0,true,,
The Fast and the Furious,watch-episode-1595765214,42659028,2020-07-26 09:06:54,6901453,1,2,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-3f80f7f3-a05c-4015-b64e-17cff1dccce6,6901453,2020-07-26 09:06:54,,,,,,,,,,,,2,1,0,true,,
The Fast and the Furious,,42659028,2020-07-26 09:07:07,6901475,2,1,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-589ce3ea-c2df-4b5f-8b09-47b083b5824b,6901475,2020-07-26 09:07:07,,,,,,,,,,,,1,2,0,false,,
The Fast and the Furious,watch-episode-1595765245,42659028,2020-07-26 09:07:25,6901464,1,7,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-74ad4e56-ba6a-430a-b3db-a8b8403dabe7,6901464,2020-07-26 09:07:25,,,,,,,,,,,,7,1,0,true,,
The Fast and the Furious,watch-episode-1595765243,42659028,2020-07-26 09:07:23,6901457,1,4,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-79579d29-8975-4341-ba81-38d166995291,6901457,2020-07-26 09:07:23,,,,,,,,,,,,4,1,0,true,,
The Fast and the Furious,watch-episode-1595765238,42659028,2020-07-26 09:07:18,6901466,1,8,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-8d6cc8dd-4ef4-48cd-84ca-8edcdfc1bce9,6901466,2020-07-26 09:07:18,,,,,,,,,,,,8,1,0,true,,
The Fast and the Furious,watch-episode-1595765243,42659028,2020-07-26 09:07:23,6901459,1,5,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-c5e25889-d902-4477-9027-10b49ee61d1e,6901459,2020-07-26 09:07:23,,,,,,,,,,,,5,1,0,true,,
The Fast and the Furious,watch-episode-1595765212,42659028,2020-07-26 09:06:52,6901455,1,3,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-d6af4f2c-fbcc-46c5-91d7-81cfd697ecb4,6901455,2020-07-26 09:06:52,,,,,,,,,,,,3,1,0,true,,
The Fast and the Furious,watch-episode-1595765244,42659028,2020-07-26 09:07:24,6901463,1,6,355375,watch-episode-0579711d-0fb9-4a19-9ab1-777f03b4fbfe-e3a959b6-c7ae-40e6-b6b3-c90ba5e4468b,6901463,2020-07-26 09:07:24,,,,,,,,,,,,6,1,0,true,,
